	ASGS	T1	T2	T4	P1	P2	P3
1	101011001	14.02	12.80	5.12	656.44	74.73	38.26
2	101011002	13.51	12.74	5.09	757.05	88.76	41.97
3	101011003	14.54	12.95	5.63	677.57	71.38	42.89
4	101011004	14.27	12.76	5.53	711.63	75.41	44.71
5	101011005	15.26	14.30	5.88	616.64	65.00	38.79
6	101011006	15.33	14.19	5.78	624.34	68.38	38.64
7	101021007	12.90	12.41	4.83	854.64	108.02	43.96
8	101021008	13.85	13.50	5.46	626.64	75.64	35.68
9	101021009	13.92	13.49	5.48	623.81	75.71	35.94
10	101021011	11.76	12.56	5.11	780.80	92.79	48.00
11	101021012	13.55	13.32	5.42	642.37	76.10	36.10
12	101031013	11.33	12.96	4.84	653.05	82.67	36.45
13	101031014	11.72	14.05	5.11	524.35	66.92	25.93
14	101031015	10.73	12.92	4.99	730.47	84.61	41.14
15	101031016	9.39	12.09	4.97	978.08	108.39	54.91
16	101041019	15.68	11.24	3.96	859.85	115.64	29.69
17	101041020	15.30	9.70	3.63	863.87	105.85	40.55
18	101041022	14.59	11.87	4.28	933.57	131.83	38.52
19	101041024	15.75	10.50	3.78	1043.31	138.99	42.76
20	101041025	15.60	10.11	3.67	826.83	104.30	32.93
21	101041026	16.29	9.74	3.47	1038.49	137.34	40.20
22	101041027	15.97	9.49	3.43	1024.23	133.81	39.88
23	102011030	17.25	10.40	3.87	1205.94	161.66	55.07
24	102011043	18.14	9.87	3.72	1283.00	163.57	61.95
25	102021047	18.23	9.23	3.55	1306.10	166.75	61.16
26	102021049	17.56	9.97	3.75	1165.43	162.12	48.78
27	102021051	17.55	9.79	3.69	1272.01	169.71	59.58
28	103011058	13.75	13.56	5.40	635.68	93.63	37.31
29	103011059	13.74	13.55	5.37	624.91	93.67	34.65
30	103011060	13.47	13.03	5.31	705.88	97.31	42.98
31	103011061	11.96	11.62	5.05	845.89	109.81	50.19
32	103021062	18.12	13.62	6.16	451.11	61.91	26.60
33	103021063	16.68	14.82	5.83	601.96	72.17	38.30
34	103021064	16.16	14.58	5.79	632.98	75.55	40.22
35	103021065	17.45	13.78	6.03	496.95	63.81	31.37
36	103021066	16.63	13.78	5.93	556.67	61.96	31.84
37	103021067	17.52	12.99	5.85	566.14	72.06	38.73
38	103021068	17.58	13.10	5.94	552.98	72.24	37.14
39	103021069	17.05	13.39	6.10	458.99	52.57	27.48
40	103031071	13.49	11.90	5.00	794.13	115.75	43.12
41	103031072	15.83	13.49	5.53	685.91	98.83	35.37
42	103031073	14.51	11.99	5.08	726.91	107.39	39.25
43	103031074	15.72	13.19	5.52	691.70	98.74	40.74
44	103031075	14.79	11.65	4.79	881.89	136.63	39.31
45	103041076	13.81	13.67	5.51	794.12	92.61	44.49
46	103041077	13.41	12.22	5.38	818.33	104.29	49.73
47	103041078	13.74	12.64	5.46	785.36	100.60	49.15
48	103041079	15.06	13.38	5.70	698.87	90.30	46.77
49	104011080	19.58	12.48	4.17	1036.59	142.00	26.73
50	104011081	18.63	13.31	4.42	1118.17	163.77	30.90
51	104011082	20.14	10.24	3.59	1413.46	186.38	42.23
52	104021083	17.36	12.36	4.28	1482.18	221.63	36.90
53	104021086	18.31	11.43	4.08	1577.36	233.58	43.75
54	104021087	15.00	12.14	4.31	1425.73	215.30	36.98
55	104021089	18.98	10.73	3.85	1668.66	251.58	42.13
56	104021090	19.24	10.95	3.87	1630.60	242.78	40.98
57	104021091	18.90	10.99	3.95	1424.15	198.02	40.19
58	105011092	21.04	14.11	6.37	362.04	52.94	13.79
59	105011093	19.22	13.43	6.16	393.66	56.85	20.24
60	105011094	19.66	14.32	6.12	526.62	89.48	24.49
61	105011095	19.76	13.63	6.17	460.45	65.94	19.83
62	105011096	20.59	14.04	6.18	496.87	83.24	20.42
63	105021097	18.58	12.43	5.67	292.41	31.86	17.04
64	105021098	19.73	13.63	6.04	286.79	37.55	15.34
65	105031099	17.56	14.13	5.75	686.36	118.43	37.58
66	105031100	17.66	14.06	6.03	551.21	81.85	32.38
67	105031101	17.75	14.07	6.04	544.78	82.17	32.16
68	105031102	17.84	14.07	6.05	538.64	83.46	31.47
69	105031103	17.34	13.81	5.93	589.06	86.49	35.31
70	105031104	17.61	14.64	6.02	653.85	110.04	33.44
71	105031105	18.32	13.85	6.07	520.58	80.32	30.45
72	105031106	16.49	13.64	5.78	628.77	85.42	41.37
73	106011107	18.38	12.68	4.55	757.74	107.65	31.22
74	106011109	17.50	11.50	4.25	920.44	129.75	36.75
75	106011110	17.07	11.10	4.24	1142.54	167.27	40.03
76	106011111	18.55	12.29	4.41	865.55	116.56	33.84
77	106011112	18.67	13.01	4.65	709.39	104.44	29.95
78	106011113	17.53	12.47	4.60	781.76	116.74	31.22
79	106021114	18.68	12.16	4.37	925.56	124.34	35.24
80	106021116	18.45	12.13	4.35	934.61	128.65	34.08
81	106021117	18.53	12.47	4.46	846.31	115.28	32.60
82	106021118	18.61	11.29	4.15	1043.65	139.15	41.71
83	106031122	18.51	10.94	4.06	1116.43	147.46	48.20
84	106031123	18.23	11.61	4.24	1062.93	145.57	39.92
85	106031124	18.09	11.00	3.90	1300.36	164.70	61.88
86	106031125	18.18	10.99	4.04	1191.10	155.62	55.00
87	106041126	17.76	13.46	4.92	665.36	104.32	28.82
88	106041127	16.95	13.18	4.97	717.22	113.43	32.04
89	106041128	17.43	13.78	5.04	681.33	109.86	31.62
90	106041129	15.89	12.80	4.97	777.82	125.06	35.53
91	107011130	18.19	8.27	3.16	1269.09	181.04	52.53
92	107011131	17.76	9.58	3.51	1254.19	178.52	49.12
93	107021135	15.76	11.08	4.17	1255.24	175.77	50.97
94	107031136	16.92	9.65	3.60	1416.33	202.07	57.18
95	107031140	16.39	9.34	3.56	1540.63	217.62	71.38
96	107041144	17.24	9.01	3.48	1373.27	197.77	58.17
97	107041147	16.79	9.65	3.80	1330.36	186.38	61.05
98	108011151	17.26	11.07	4.00	1229.16	171.60	50.99
99	108011153	17.88	11.34	3.89	1297.49	173.51	56.99
100	108021155	18.95	10.97	3.79	1262.88	165.54	32.08
101	108021156	17.87	12.20	4.16	1225.14	173.01	29.20
102	108021157	19.43	10.69	3.73	1435.70	197.42	40.80
103	108021159	18.39	12.13	4.13	1391.53	200.42	36.55
104	108041162	17.76	10.28	3.74	1444.19	204.83	42.14
105	108041165	16.35	11.24	4.01	1444.80	207.85	35.10
106	108041166	18.27	10.40	3.75	1360.87	190.57	37.35
107	108051167	15.54	11.25	4.35	1108.33	166.72	38.60
108	108051168	18.30	10.78	3.75	1312.51	185.20	41.59
109	108051169	18.44	11.34	3.90	1256.11	182.69	38.49
110	108051170	17.44	11.55	4.04	1238.72	182.66	36.49
111	109011172	15.72	12.77	5.65	744.98	87.51	43.54
112	109011174	15.62	13.40	5.77	706.68	80.83	41.21
113	109011175	14.89	12.64	5.70	726.97	81.36	43.08
114	109011176	15.44	12.96	5.73	731.38	85.13	43.36
115	109021177	17.77	13.74	5.77	349.01	36.46	19.43
116	109021178	18.06	13.76	5.36	278.78	30.35	13.73
117	109021179	18.35	14.05	5.66	303.40	32.82	17.55
118	109031180	15.95	14.22	5.81	550.45	57.80	28.38
119	109031181	16.59	13.98	5.96	485.71	50.49	27.69
120	109031182	16.58	13.57	5.63	386.77	36.61	20.01
121	109031183	16.67	13.63	5.58	379.98	37.65	19.66
122	109031184	15.83	13.58	5.47	396.89	40.48	19.52
123	109031185	16.90	13.91	5.88	412.30	40.12	22.35
124	110011186	13.86	12.37	4.80	787.32	131.24	37.62
125	110011187	13.76	12.30	4.77	867.07	139.32	35.39
