	ASGS	T1	T2	T4	P1	P2	P3
126	110011188	14.13	13.28	5.05	806.82	130.70	35.55
127	110011189	13.63	12.24	4.66	1013.54	162.93	40.83
128	110021190	15.06	13.01	4.74	937.14	142.22	37.45
129	110021191	16.82	14.79	5.42	808.17	123.01	39.22
130	110021192	17.60	15.06	5.57	741.67	115.35	31.90
131	110021193	17.80	15.41	5.81	756.95	119.91	35.42
132	110021194	16.25	12.44	4.56	980.16	140.85	35.51
133	110031195	20.24	14.19	5.94	597.06	92.11	26.00
134	110031196	20.18	14.38	5.92	610.87	93.96	25.88
135	110031197	19.75	14.39	5.84	658.91	113.50	28.27
136	110031198	19.52	14.41	5.91	649.02	111.94	30.25
137	110041199	18.59	13.49	5.53	623.37	110.99	27.55
138	110041200	18.41	13.98	5.61	631.42	110.84	28.19
139	110041201	17.01	13.88	5.48	704.12	123.89	35.40
140	110041202	17.07	14.05	5.43	709.33	118.20	34.54
141	110041203	16.83	14.08	5.44	720.59	118.22	34.52
142	110041204	17.37	13.90	5.48	685.41	116.02	34.72
143	110041205	16.33	14.25	5.53	746.03	121.94	36.04
144	111021218	18.31	10.08	3.79	1126.38	154.60	44.71
145	111031223	18.67	10.90	4.06	1065.07	141.11	42.74
146	112011237	20.06	9.40	3.48	1812.59	256.11	41.84
147	112011238	19.92	9.28	3.43	1887.76	251.78	45.63
148	112011239	20.46	9.35	3.41	1890.79	253.41	46.24
149	112011241	20.84	10.59	3.71	1490.21	203.08	38.70
150	112011243	19.90	10.06	3.57	1867.25	267.61	44.40
151	112021244	20.22	13.00	4.19	1144.78	167.34	25.63
152	112021245	19.48	12.86	4.25	1131.71	167.69	26.86
153	112021247	18.42	11.69	4.07	1319.49	200.26	33.00
154	112021248	20.11	11.36	3.92	1477.77	195.98	34.09
155	112021249	19.83	11.20	3.87	1515.27	209.17	35.98
156	112031252	19.69	11.08	3.80	1712.16	264.45	38.16
157	112031253	20.22	10.04	3.55	1887.16	274.00	43.48
158	112031254	19.88	10.13	3.58	1906.93	300.59	42.14
159	112031255	20.21	9.93	3.54	1883.47	286.85	42.88
160	113011256	17.21	13.28	5.85	433.40	46.32	28.88
161	113011257	17.56	13.29	5.96	424.22	46.31	26.59
162	113011258	17.27	12.99	5.92	437.30	43.10	29.02
163	113011259	17.07	13.03	5.99	445.42	43.92	27.06
164	113021260	11.36	12.13	5.28	1119.22	135.64	62.01
165	113021261	15.17	14.34	5.81	832.94	94.00	41.90
166	113021262	11.51	12.50	5.40	1127.99	126.47	63.22
167	113031263	15.90	13.92	6.06	600.95	64.50	35.08
168	113031264	15.56	13.78	5.93	703.57	74.02	42.42
169	113031265	16.21	13.73	6.12	568.78	57.18	33.82
170	113031266	16.55	13.47	6.10	503.79	54.63	29.43
171	113031267	16.35	12.88	6.00	571.60	58.15	33.43
172	113031268	16.51	12.93	6.06	556.22	54.54	32.39
173	113031269	16.28	12.58	5.98	580.61	60.12	33.38
174	113031270	16.36	12.49	5.99	569.74	58.52	32.66
175	113031271	16.15	12.89	5.93	573.78	59.35	34.95
176	114011272	16.53	10.27	3.78	1392.80	193.30	66.97
177	114011274	17.76	9.13	3.33	1196.69	146.25	56.00
178	114011275	15.83	11.10	4.15	1070.15	136.45	51.02
179	114011277	17.16	10.44	3.73	1191.35	157.46	57.36
180	114011278	17.60	9.93	3.53	1126.28	141.71	52.35
181	114011281	17.13	9.94	3.64	1174.19	145.29	58.73
182	114011282	17.09	9.30	3.48	1272.93	160.18	54.85
183	114011283	16.70	9.86	3.66	1197.69	149.88	48.74
184	114021284	13.81	11.75	4.58	996.15	130.89	47.72
185	114021285	14.73	11.91	4.53	965.10	126.78	41.01
186	114021286	14.20	11.60	4.49	1037.35	138.62	46.38
187	114021287	13.88	11.92	4.63	980.39	129.20	46.21
188	114021288	14.26	10.96	4.28	1377.13	200.06	60.37
189	114021289	14.35	12.41	4.77	863.40	111.49	39.85
190	115021298	17.64	11.10	4.10	1130.78	153.36	47.79
191	115031299	16.98	12.03	4.51	947.02	141.88	39.13
192	115031300	18.01	12.80	4.63	892.95	134.25	37.88
193	115041301	18.13	12.46	4.49	902.97	133.12	39.44
194	115041302	18.12	12.12	4.37	932.43	136.00	40.92
195	116021312	18.14	12.47	4.47	879.51	131.30	36.91
196	117031336	18.37	9.29	3.69	1212.86	151.02	62.34
197	118011346	18.50	9.07	3.59	1294.28	163.29	68.06
198	119021365	18.20	10.22	3.95	1059.54	134.01	50.42
199	120031396	18.15	10.61	4.01	1073.26	140.90	50.88
200	122021420	18.41	9.64	3.68	1302.30	165.12	64.61
201	122021421	18.26	10.06	3.80	1260.34	162.89	60.36
202	123011433	17.49	13.10	4.63	763.87	103.34	31.79
203	123011434	17.51	12.84	4.57	780.05	106.13	32.09
204	123021436	17.18	11.51	4.26	941.31	126.17	44.29
205	123021438	17.53	12.16	4.42	835.77	115.13	34.73
206	123031445	16.05	12.46	4.54	947.31	128.25	38.26
207	123031446	16.90	12.07	4.38	947.77	127.47	42.42
208	123031447	15.82	12.83	4.70	875.17	117.84	35.45
209	123031448	16.01	12.95	4.76	883.07	122.15	34.62
210	124011449	14.16	11.65	4.88	944.26	136.74	39.57
211	124011451	14.72	11.35	4.66	1124.24	171.92	43.76
212	124021456	15.82	13.00	4.90	845.40	120.52	33.39
213	124031458	17.87	12.90	4.60	880.36	135.25	35.01
214	124031463	17.82	12.79	4.52	816.76	122.32	30.76
215	124031465	17.36	13.23	4.70	813.03	119.15	29.66
216	124041466	18.11	13.09	4.71	864.57	133.22	35.80
217	124041467	18.15	12.80	4.59	862.90	131.05	35.78
218	124041468	18.11	12.94	4.62	856.20	131.53	34.93
219	125041492	18.12	11.33	4.17	996.83	138.17	45.62
220	127011505	17.73	12.74	4.52	799.02	115.92	30.40
221	127011506	17.57	12.64	4.52	799.17	111.92	31.23
222	127021518	17.87	12.14	4.36	851.22	123.44	33.62
223	201011001	12.93	11.20	4.42	643.73	66.47	35.27
224	201011002	12.88	11.00	4.39	660.31	67.93	36.61
225	201011003	12.58	10.65	4.38	713.67	74.88	38.70
226	201011005	12.67	10.50	4.22	696.94	72.75	40.39
227	201011006	12.90	11.04	4.37	652.12	66.99	36.69
228	201011007	12.91	11.01	4.33	652.00	66.56	37.65
229	201011008	12.99	11.42	4.52	637.70	66.44	33.70
230	201021009	13.13	11.42	4.27	666.48	75.10	39.06
231	201021010	13.14	11.92	4.70	648.96	71.73	32.36
232	201021011	12.34	11.47	4.66	801.09	96.33	36.70
233	201021012	12.29	10.42	4.25	771.60	85.61	42.46
234	201031013	14.26	12.37	4.81	539.53	62.17	25.48
235	201031014	13.11	11.32	4.40	632.35	66.35	34.34
236	201031015	13.40	11.10	4.15	623.45	65.65	37.10
237	201031016	14.73	12.85	4.96	502.94	54.46	23.56
238	201031017	14.47	12.97	4.93	524.08	57.13	24.83
239	202011020	15.04	12.54	5.12	521.88	57.02	24.32
240	202011021	14.63	12.47	5.11	568.39	63.31	25.84
241	202011023	15.15	12.72	5.12	497.59	53.77	23.86
242	202011025	15.35	12.70	5.17	481.44	51.51	23.13
243	202021026	14.79	12.83	5.07	533.32	58.26	24.71
244	202021027	13.86	13.11	4.98	626.72	71.79	28.39
245	202021028	13.79	12.69	4.97	629.19	72.01	28.66
246	202021029	14.46	12.65	5.03	576.09	64.34	27.11
247	202021030	12.61	12.03	4.78	758.52	95.18	35.77
248	202021031	11.81	10.93	4.52	860.20	97.69	44.82
249	202031032	15.47	12.82	5.18	465.14	49.23	22.87
250	202031033	16.01	13.19	5.24	411.82	42.82	22.48
251	203011034	14.68	10.55	3.79	521.89	59.07	30.90
252	203011035	13.76	10.95	3.99	588.89	65.65	35.41
253	203011036	14.14	9.58	3.54	673.40	72.66	36.93
254	203021038	14.92	10.39	3.79	504.82	55.92	31.74
255	203021040	14.82	10.20	3.74	522.07	57.69	32.25
256	203021041	14.85	9.44	3.56	554.33	57.84	35.40
257	203021042	14.74	9.67	3.61	553.41	59.30	34.46
258	203021043	14.70	11.10	3.96	505.73	58.74	31.56
259	203021044	14.95	9.12	3.55	545.66	53.31	36.63
260	203021047	14.97	10.22	3.74	506.37	55.49	31.88
261	203031048	14.79	8.72	3.52	575.18	55.31	35.85
262	203031049	12.86	8.38	3.42	963.09	104.40	50.47
263	203031050	14.89	8.65	3.45	573.27	55.68	37.00
264	203031051	14.78	8.66	3.55	589.96	55.88	35.46
265	203031052	14.81	8.23	3.42	596.84	57.52	35.43
266	203031053	14.74	8.95	3.43	603.28	61.40	38.11
267	204011054	13.23	11.73	4.76	971.77	123.11	42.54
268	204011055	14.67	12.75	5.24	676.67	78.79	34.60
269	204011056	13.76	11.77	4.71	677.01	74.04	37.02
270	204011057	12.48	11.87	4.86	1025.35	128.97	49.24
271	204011058	14.54	12.65	5.12	635.44	70.99	31.80
272	204011059	14.34	12.59	5.03	645.93	73.71	32.83
273	204011060	13.77	12.26	4.88	654.07	79.09	32.18
274	204011062	13.43	11.41	4.68	880.12	103.23	41.66
275	204021063	15.15	13.63	5.40	716.61	82.63	37.61
276	204021064	13.99	12.87	5.32	840.30	102.45	41.82
277	204021065	15.84	14.30	5.80	561.94	58.88	29.12
278	204021066	15.43	14.15	5.62	641.41	67.46	32.39
279	204021067	13.37	13.03	5.27	1041.27	130.10	51.76
280	204031068	12.51	11.41	5.45	1150.45	142.38	52.46
281	204031069	11.94	11.72	5.06	1339.53	176.06	60.69
282	204031070	15.15	13.90	5.75	694.58	76.24	38.22
283	204031071	13.92	13.65	5.35	1082.43	137.91	50.70
284	204031072	12.34	12.03	5.18	1191.39	157.69	56.36
285	204031073	15.20	13.36	5.74	747.37	84.88	41.86
286	204031074	15.32	12.94	5.65	807.56	94.46	44.17
287	204031075	14.64	12.88	5.48	967.86	117.74	49.81
288	205011076	14.06	10.80	3.87	942.70	96.99	52.96
289	205011077	13.18	10.46	4.02	1052.56	112.84	57.65
290	205011078	13.19	9.75	3.81	989.10	100.37	51.88
291	205011079	13.92	10.38	3.81	943.81	96.98	50.60
292	205021081	15.08	11.14	3.71	654.63	74.68	41.05
293	205021082	12.83	11.89	4.39	801.57	85.08	50.11
294	205021084	15.17	10.10	3.45	690.67	74.26	41.65
295	205021085	12.71	10.87	4.13	935.71	101.87	59.60
296	205021086	15.10	10.73	3.60	625.74	69.16	39.88
297	205031087	14.12	9.06	3.48	957.05	102.83	40.48
298	205031088	14.72	9.46	3.67	803.14	80.12	43.62
299	205031089	13.80	9.64	3.66	1001.61	102.67	49.24
300	205031090	13.96	9.83	3.69	950.35	100.40	45.00
301	205031091	14.93	8.22	3.40	791.88	81.43	38.78
302	205031093	14.48	9.43	3.53	884.21	91.64	43.02
303	205041094	13.03	9.77	3.87	961.96	100.54	48.04
304	205041095	14.13	10.36	3.90	817.12	85.15	44.54
305	205041097	14.52	10.94	3.96	664.63	66.96	36.76
306	205041098	14.00	10.41	3.94	800.72	79.92	43.95
307	205051099	10.50	10.40	4.64	1100.78	122.32	57.34
308	205051100	14.79	10.73	3.74	594.94	63.14	37.03
309	205051101	14.44	11.49	4.03	659.35	70.84	40.16
310	205051102	14.22	10.63	3.90	667.11	66.99	37.74
311	205051103	14.90	11.27	3.95	560.67	60.38	34.86
312	205051104	14.15	9.62	3.64	740.44	73.33	40.70
313	206041119	15.55	10.08	3.92	615.82	64.63	40.65
314	206061136	15.48	9.84	3.87	627.98	65.45	41.43
315	207011150	15.25	9.95	3.91	690.57	70.90	44.80
316	207011151	15.45	10.08	3.93	643.89	66.99	42.16
317	208031186	15.27	9.70	3.83	682.01	65.13	44.64
318	209031211	12.59	9.58	4.30	1118.72	123.43	56.56
319	209031212	13.85	10.54	4.26	870.61	90.33	50.27
320	209031213	14.65	10.73	4.18	707.28	72.74	46.17
321	209031214	14.75	10.66	4.10	766.95	76.39	47.33
322	209041218	14.49	10.75	4.22	655.60	68.52	44.22
323	209041224	12.97	10.56	4.52	844.55	91.72	46.66
324	209041225	13.73	10.69	4.35	760.15	77.28	47.34
325	210011227	15.17	10.41	4.03	581.23	62.82	38.83
326	210021232	12.88	11.41	4.39	691.73	72.82	41.26
327	210021234	12.70	11.11	4.44	717.42	73.29	41.67
328	210021235	12.69	11.17	4.56	730.27	78.08	39.51
329	210041240	13.95	11.42	4.36	572.04	60.68	36.58
330	210041241	13.78	11.31	4.30	593.43	64.07	37.95
331	210051244	14.21	10.96	4.29	594.19	62.76	39.31
332	210051245	14.83	10.75	4.15	582.96	63.39	38.69
333	210051246	14.50	11.01	4.22	565.63	61.72	37.26
334	211011255	14.74	10.14	3.92	832.98	78.72	53.01
335	211051274	14.34	10.05	3.93	905.83	86.46	55.81
336	211051276	13.86	10.83	4.15	1037.02	115.80	55.81
337	211051278	14.48	10.94	4.08	888.28	91.91	51.54
338	211051279	13.84	10.28	3.97	1039.41	104.87	60.02
339	211051282	13.57	9.68	3.96	1067.90	107.73	61.79
340	211051285	14.14	10.72	4.03	979.03	101.60	55.85
341	211051286	12.52	9.90	4.12	1284.83	143.04	63.62
342	212011288	14.31	10.93	3.91	905.50	91.88	53.33
343	212011289	13.71	10.32	3.95	1048.47	104.57	60.86
344	212011290	14.60	10.53	3.83	820.69	80.37	47.76
345	212011292	14.54	10.75	3.96	821.12	80.59	50.49
346	212021293	14.43	10.10	3.93	865.29	82.45	53.62
347	212021299	14.66	10.17	3.93	829.31	78.83	52.46
348	212031300	14.83	9.95	3.89	758.79	72.54	47.73
349	212031302	14.82	10.17	3.92	765.17	73.57	48.59
350	212031303	14.74	10.22	3.91	763.96	73.53	46.93
351	212031308	14.84	10.13	3.87	750.45	72.22	44.85
352	212051324	15.01	9.77	3.89	741.38	74.28	47.85
353	213021343	15.28	10.33	3.97	546.39	58.43	36.92
354	213041353	14.14	12.45	4.36	531.35	59.64	33.67
355	213041355	14.67	11.39	4.21	515.45	57.91	33.57
356	213041356	14.09	11.84	4.31	539.25	60.31	34.30
357	213041357	14.64	12.01	4.26	486.60	55.00	31.41
358	213041358	14.43	12.22	4.33	492.06	56.30	31.38
359	213041359	14.74	11.44	4.20	503.07	56.12	33.00
360	213051366	15.03	10.83	4.09	517.79	55.77	35.04
361	213051367	14.92	10.97	4.02	492.13	52.53	33.74
362	213051369	14.76	11.42	4.12	494.92	54.01	33.25
363	214011370	15.10	9.61	3.84	715.28	68.08	45.46
364	214011374	14.94	9.40	3.81	749.01	72.66	45.85
365	214011376	14.95	9.71	3.86	741.70	70.69	46.74
366	214021377	14.58	7.65	3.44	840.33	85.33	42.56
367	214021378	14.68	7.42	3.31	807.41	82.59	40.31
368	214021379	15.06	8.57	3.56	769.51	77.81	40.70
369	214021381	15.09	8.81	3.72	740.41	74.31	43.32
370	214021382	15.12	8.26	3.55	743.92	75.00	40.48
371	214021385	14.99	9.04	3.74	754.01	75.16	44.09
372	215011386	13.79	11.73	4.40	566.28	62.99	28.71
373	215011387	13.77	11.50	4.20	559.80	62.15	28.54
374	215011388	15.06	13.28	4.76	429.85	50.29	20.48
375	215011389	14.92	13.24	4.72	446.69	53.79	19.68
376	215011390	15.80	14.16	4.82	363.05	43.52	16.30
377	215011391	15.19	12.91	4.98	462.86	57.71	21.16
378	215011392	14.69	12.30	4.65	512.38	60.44	23.70
379	215011393	14.55	13.08	4.37	495.78	62.06	18.43
380	215011394	16.19	13.81	5.07	362.43	44.93	17.03
381	215021395	17.79	13.83	5.36	295.81	31.24	14.56
382	215021396	17.90	13.83	5.36	282.16	31.19	13.31
383	215021397	17.78	13.86	5.37	290.70	31.11	13.93
384	215021398	17.00	14.23	5.13	314.77	35.15	15.20
385	215021399	17.71	13.99	5.37	297.77	31.59	14.35
386	215031400	16.14	13.68	5.19	370.52	42.84	18.72
387	215031401	16.64	13.51	5.34	371.42	39.46	20.12
388	215031402	16.70	13.36	5.30	375.44	39.45	20.83
389	215031403	17.47	14.28	5.51	319.25	32.56	17.23
390	215031404	17.03	13.38	5.26	353.69	39.00	18.15
391	215031405	17.06	13.83	5.34	340.93	36.49	17.91
392	216011406	15.84	13.40	5.40	407.23	41.59	19.86
393	216011407	15.62	13.33	5.37	426.27	42.30	21.14
394	216011408	16.03	13.38	5.40	399.10	40.59	20.45
395	216011409	15.70	13.06	5.34	426.94	42.79	20.71
396	216011410	15.20	12.88	5.19	500.47	50.43	24.62
397	216021411	16.36	13.99	5.71	461.78	46.42	22.37
398	216021412	15.89	13.97	5.67	522.45	53.65	26.66
399	216021413	16.00	13.77	5.59	428.23	41.49	21.46
400	216021414	16.13	14.11	5.76	499.74	50.18	25.05
401	216031415	15.57	13.14	5.30	478.42	48.31	25.29
402	216031416	15.67	13.21	5.34	475.48	47.57	24.95
403	216031417	15.60	13.10	5.30	506.55	51.24	27.23
404	216031418	15.69	13.31	5.37	505.46	51.58	26.82
405	216031419	15.42	13.14	5.28	480.15	48.69	25.02
406	217011420	14.22	10.82	3.56	669.62	85.99	20.92
407	217011421	13.86	11.21	3.81	636.27	73.87	24.04
408	217011422	14.34	8.19	2.80	740.84	98.38	23.64
409	217011423	13.73	11.74	4.07	627.42	76.80	22.28
410	217021424	14.01	10.61	3.81	690.48	74.52	33.35
411	217021425	13.83	10.53	3.72	753.90	83.00	36.62
412	217021426	13.96	10.55	3.71	718.73	78.46	35.64
413	217021427	14.15	11.26	4.00	580.10	60.46	33.00
414	217021428	14.21	9.11	3.31	867.91	103.62	37.79
415	217021429	14.00	10.72	3.76	649.34	71.48	29.72
416	217021430	14.31	9.83	3.27	700.78	82.82	25.63
417	217021431	13.68	7.81	3.10	1080.35	127.79	51.57
418	217021432	14.48	9.54	3.22	750.62	89.90	27.84
419	217021433	14.53	9.52	3.27	764.73	90.94	29.14
420	301011002	20.83	9.89	3.71	1219.93	176.68	35.58
421	301011006	20.88	9.54	3.66	1295.40	184.41	37.90
422	301021009	20.91	9.52	3.62	1324.07	181.05	40.23
423	301021012	20.66	9.60	3.67	1307.61	183.63	39.25
424	303031061	20.62	10.36	3.76	1136.86	168.91	30.89
425	306031160	23.82	9.20	2.88	3505.01	647.05	85.58
426	306031161	24.13	9.91	3.02	2667.41	528.22	56.39
427	306051166	21.35	10.44	2.93	1346.35	293.28	21.04
428	306051167	21.71	11.36	3.35	1019.90	220.80	16.24
429	306051170	22.35	10.58	2.98	1351.31	315.87	21.55
430	307011171	21.32	14.21	6.02	498.21	82.15	19.24
431	307011172	20.17	14.05	5.09	657.57	92.07	25.00
432	307011173	20.22	14.21	5.69	623.55	94.89	27.99
433	307011174	20.06	14.53	5.76	601.89	92.14	25.54
434	307011175	20.57	14.39	5.43	630.43	91.63	24.32
435	307011176	21.04	15.04	5.82	559.62	90.96	17.64
436	307011177	20.51	15.22	5.85	567.93	91.07	20.24
437	307011178	20.22	14.32	5.56	601.74	87.31	24.12
438	307021179	18.54	12.76	4.58	843.69	125.96	27.28
439	307021180	19.19	14.03	5.11	654.18	92.23	23.11
440	307021181	19.27	14.38	5.41	627.23	87.96	26.13
441	307021182	18.78	13.84	5.02	672.41	92.42	25.69
442	307021183	19.34	13.72	5.09	669.25	97.75	25.35
443	307031184	18.33	13.73	4.92	702.01	94.56	25.51
444	307031185	17.26	12.89	4.66	821.78	112.24	26.84
445	307031186	17.56	13.38	4.90	711.16	95.26	28.75
446	307031187	15.55	12.17	4.78	801.81	104.98	36.74
447	307031188	16.39	13.04	4.95	763.31	102.85	33.77
448	307031189	17.74	13.46	4.85	698.31	93.63	26.34
449	308011190	22.30	14.24	4.78	669.91	107.52	22.91
450	308011191	21.81	15.01	5.19	619.26	105.91	19.19
451	308021193	22.09	9.08	3.51	1061.14	185.80	31.43
452	308021194	21.38	14.25	4.85	672.69	102.60	22.25
453	308021195	21.58	14.69	4.76	639.55	97.22	21.25
454	308021200	21.42	10.85	3.96	867.50	148.01	26.98
455	308031206	22.92	10.74	3.98	822.79	137.49	23.43
456	308031209	23.22	10.39	3.98	861.14	137.01	20.06
457	308031220	22.82	12.03	4.24	727.89	120.24	23.06
458	309041241	19.24	10.35	3.70	1627.26	265.84	36.38
459	309041242	19.03	10.59	3.77	1383.83	214.20	32.39
460	309061248	20.43	10.66	3.76	1412.22	206.95	35.77
461	309071255	20.75	10.44	3.79	1233.66	174.48	34.54
