	ASGS	nosheep	nobusi	T1	T2	T4	P1	P2	P3
628	502011021	8983.98	2.5	18.34	10.01	3.81	801.98	149.68	6.55
629	502011029	14494.72	68.38	18.18	11.18	4.22	834.25	156.92	7.89
630	503011036	138.66	2.52	18.86	9.94	3.94	714.02	140.17	6.84
631	503021043	466.42	2.52	18.83	10.42	4.10	737.32	144.43	7.12
632	504021049	8688.45	29.98	17.45	12.66	5.04	707.18	134.20	8.77
633	504021050	2171.2	2.24	18.15	12.08	4.71	808.63	156.02	9.75
634	504021051	549.04	2.5	18.33	12.07	4.65	796.09	153.81	9.53
635	504031057	39.54	2.48	18.91	12.34	4.54	707.52	136.26	7.62
636	504031058	2321.53	24.2	18.52	12.63	4.73	688.74	130.64	8.23
637	504031059	106.12	2.66	18.84	12.61	4.62	690.60	130.86	7.86
638	504031060	11909.24	69.39	17.85	12.48	4.89	736.41	141.24	9.33
639	504031066	14.98	2.5	18.92	12.53	4.59	726.26	141.02	8.11
640	504031068	10110.86	11.4	18.76	12.99	4.75	686.67	129.73	8.22
641	505021096	16467.52	2.3	18.87	10.33	4.05	725.29	141.90	6.79
642	505031107	116.32	2.32	18.82	11.39	4.30	700.57	135.63	7.59
643	505031109	320.42	4.44	18.86	11.36	4.25	666.89	128.70	7.29
644	506011114	176.2	7.12	18.05	11.59	4.57	868.33	170.19	10.19
645	506011116	13.88	2.32	17.31	11.48	4.71	944.42	183.57	11.49
646	506041136	201.04	4.72	17.93	11.50	4.59	880.92	171.39	10.23
647	506051141	3800	4.42	17.58	11.72	4.74	894.15	174.06	10.37
648	506061143	8497.46	18.12	18.26	11.57	4.45	824.00	162.51	9.82
649	506061144	8262.24	59.06	17.32	11.90	4.70	913.54	178.88	11.95
650	507011148	53.42	2.42	18.58	11.04	4.26	773.65	154.74	8.43
651	507031172	346.42	2.28	18.55	10.61	4.11	755.78	150.19	7.56
652	507051185	39130	4.52	18.59	10.83	4.13	771.24	149.36	8.16
653	508011194	226916.92	114.48	17.27	9.81	3.26	600.86	91.03	20.75
654	508011195	1534474.42	579.73	17.18	12.32	4.01	400.76	46.59	20.07
655	508021196	37811.06	14.33	23.43	10.14	4.20	245.79	46.49	2.65
656	508021197	201692.92	35.28	24.10	13.68	5.63	229.95	39.50	3.57
657	508031202	218799.96	27.76	18.32	13.42	4.47	266.52	32.52	12.29
658	508041206	4850	2	27.82	14.43	3.77	724.97	217.61	1.18
659	508041207	4850	2	27.06	14.85	5.08	409.85	104.76	1.32
660	508041209	15185.32	2.1	27.27	13.56	3.86	557.77	171.74	1.45
661	508051210	8620.02	2.4	20.40	11.92	3.88	420.28	92.05	3.96
662	508051211	920.42	7.02	20.32	12.10	4.00	425.62	91.73	4.02
663	508051212	20195.32	23.13	20.18	12.66	4.26	419.26	90.99	3.94
664	508051213	1577.94	2.26	20.38	11.96	3.92	429.55	92.99	4.05
665	508051214	167562.01	72.57	20.57	13.24	4.64	436.67	90.10	5.18
666	508051215	126850.1	56.68	22.83	14.79	6.52	238.73	39.01	4.89
667	508051216	919599.01	450.86	20.55	14.60	6.00	333.31	53.05	10.14
668	508051217	832707.58	511.68	21.05	14.48	5.48	295.40	54.44	6.28
669	509011225	5154.2	8.87	16.34	7.39	2.70	822.70	125.25	21.09
670	509011226	414090.38	286.36	16.04	9.10	3.08	728.54	104.00	22.45
671	509011227	532.54	6.84	16.32	7.81	2.80	782.68	116.53	21.43
672	509011228	38089.4	84.58	15.97	9.68	3.17	974.61	157.95	22.59
673	509011229	2043852.1	613.47	16.32	12.16	4.05	416.15	54.19	16.95
674	509011230	757033.44	265.55	16.19	12.82	4.61	404.02	59.48	11.77
675	509011231	3244784.34	887.78	15.84	12.07	4.26	475.61	69.59	13.56
676	509011232	8154.78	6.46	16.11	7.36	2.71	865.45	133.09	21.26
677	509011233	14047.94	28.51	16.04	8.23	2.93	791.76	117.50	21.59
678	509011234	826785.34	435.7	15.70	10.42	3.59	645.67	92.25	20.14
679	509021236	176135.24	189.1	18.33	12.92	4.98	557.34	103.56	8.25
680	509021237	765858.86	413.68	18.21	14.13	5.54	339.96	51.11	12.63
681	509021238	887305.06	514.22	18.85	13.85	5.66	327.07	47.34	12.45
682	509021239	975198.38	354.12	19.06	12.07	4.28	561.58	109.12	6.71
683	509021240	937750.04	456.69	18.01	14.31	5.58	325.80	44.83	13.52
684	509021241	1251876.1	580.89	19.47	14.07	5.70	340.83	53.05	10.20
685	509021242	1006260.7	488.63	18.91	14.24	5.95	296.79	37.48	12.23
686	509021243	303398.93	226.95	17.93	13.94	5.43	466.65	81.23	7.88
687	509021244	116085.7	110.8	17.92	13.23	5.20	535.84	96.16	8.07
688	509021245	905630.6	394.84	17.52	14.24	5.42	469.65	82.24	9.41
689	509031246	1455380.34	528.31	16.97	13.81	5.29	440.50	76.03	10.48
690	509031247	2543403.84	954.46	16.94	13.59	4.78	338.79	43.67	15.31
691	509031248	162297.1	79.34	16.53	12.81	4.88	803.85	147.10	11.23
692	509031249	291264.63	107.98	16.31	12.99	4.98	440.92	75.47	10.04
693	509031250	3147254.24	815.64	16.10	13.14	4.93	489.19	78.87	9.50
694	601011001	3004.1	9.01	11.42	10.12	3.57	651.03	64.00	38.02
695	601011002	18001.67	25.28	12.16	10.12	3.52	572.16	58.59	34.37
696	601011003	644.06	2.36	12.39	9.95	3.47	582.90	59.37	35.36
697	601021005	11444.96	32.26	12.56	9.40	3.26	584.18	61.09	35.59
698	601021010	457.92	4.58	12.27	9.51	3.34	604.53	62.83	36.63
699	601021012	2925.72	11.5	12.92	8.92	3.02	618.60	61.76	39.12
700	601031013	232.28	2.28	12.47	10.34	3.57	567.62	55.63	34.04
701	601031020	77.72	2.22	10.95	10.19	3.56	729.06	71.37	41.33
702	601041022	19.42	2.42	11.48	9.16	3.19	824.46	82.57	48.48
703	601041023	122.52	2.32	12.65	9.19	3.10	679.36	66.77	39.72
704	601041024	452.66	11.16	11.01	9.02	3.11	955.62	98.20	53.79
705	601061034	10090.84	24.43	12.26	8.94	2.99	739.51	72.80	45.90
706	601061035	81639.82	105.15	12.24	9.62	3.29	614.25	63.54	37.78
707	602011038	4.42	2.2	12.75	10.81	3.84	711.80	83.62	34.44
708	602011041	18580.19	8.96	12.71	10.62	3.79	769.13	95.12	34.67
709	602011044	1010.76	2.12	12.21	10.76	3.83	773.73	91.70	36.83
710	602011046	33.28	2.22	12.35	10.73	3.81	790.46	96.96	36.04
711	602011050	4956.52	6.9	12.16	10.78	3.83	769.85	89.86	36.48
712	602011052	2023.78	8.94	12.54	10.93	3.85	697.06	79.05	34.56
713	602021053	9557.24	15.81	12.67	8.85	3.35	869.36	116.22	33.82
714	602021054	108596.84	181.22	8.02	8.81	3.50	1747.23	237.41	72.68
715	602021055	14113.96	47.08	12.08	10.05	3.63	914.52	117.78	36.27
716	602021056	70120.42	42.3	11.95	11.16	3.87	791.83	95.96	36.53
717	602021057	145721.7	198.63	10.46	11.08	3.85	959.08	126.16	39.45
718	602031058	44973.3	93.68	10.98	10.10	3.75	1036.76	131.24	43.64
719	602031059	44316.2	49.59	13.16	8.77	3.32	859.05	114.73	32.63
720	602031060	101595.92	66.24	12.11	11.37	3.92	698.30	79.16	34.42
721	602031061	1282839.26	317.03	9.80	10.65	3.82	837.58	88.03	41.14
722	602031062	136208.82	72.43	12.09	11.30	3.91	663.44	72.36	33.56
723	602031063	285599.78	195.5	13.35	8.31	3.10	902.43	103.26	38.31
724	602031064	141695.72	52.92	10.99	10.02	3.47	1020.70	103.84	53.42
725	603011065	707158.02	174.18	9.14	10.19	3.69	872.02	95.95	40.21
726	603011066	48550.26	44.04	9.01	9.23	3.47	1224.76	135.16	56.46
727	603011067	932424.48	420.18	10.43	10.65	3.68	592.06	59.20	33.87
728	603011068	849.94	4.62	10.13	8.11	2.90	1824.34	208.10	81.96
729	603021069	8693.94	18.44	11.60	8.15	2.80	954.57	98.72	53.61
730	603021070	1917.72	22.78	11.33	9.46	3.09	962.76	102.38	51.34
731	603021071	1421.38	11.38	11.10	9.14	2.98	1152.73	124.20	58.99
732	603021072	1864.94	32.02	10.26	9.72	3.39	1075.91	113.83	52.91
733	603031073	20398.64	36.96	12.49	8.14	2.70	843.25	86.31	48.70
734	603031074	271232.76	114.58	11.82	10.08	3.18	709.46	73.61	42.25
735	604011076	21448.38	138.68	10.30	8.00	3.11	1545.85	212.46	61.23
736	604011077	170.26	2.22	13.06	7.95	2.99	993.30	126.74	38.23
737	604011079	92.7	7.16	12.21	8.08	3.07	1082.74	139.20	43.42
738	604011081	23.9	4.78	12.53	8.11	3.06	1091.93	143.21	42.09
739	604011082	2430.18	14.54	12.59	8.54	3.15	977.56	128.29	40.25
740	604011083	703.02	6.84	12.87	8.40	3.10	967.59	125.44	39.03
741	604011084	2306.45	11.94	12.72	8.31	3.09	1057.28	134.62	39.92
742	604021086	1507.62	6.88	12.74	8.95	3.27	878.15	115.05	36.36
743	604021087	19382.73	57.22	12.47	9.46	3.39	882.25	116.37	37.70
744	604021088	1987.5	6.6	12.80	8.98	3.27	907.44	117.85	36.76
745	604021089	22310.42	64.6	12.52	9.10	3.35	867.06	114.72	35.66
746	604021090	479.88	4.52	12.75	9.16	3.31	896.87	118.06	37.07
747	604021091	30345.14	149.9	9.23	8.42	3.31	1704.54	225.82	74.29
748	604021092	9477.6	42.48	12.69	8.81	3.22	935.61	122.38	38.52
749	604031093	23585.64	32.2	13.84	6.02	2.49	898.09	109.08	33.70
750	604031094	9248.07	30.09	12.26	7.39	2.75	1414.29	173.31	59.27
751	604031095	112.81	6.8	12.97	8.16	2.89	1071.42	134.82	44.83
752	604031096	7718.71	36.78	9.95	7.77	3.09	1897.38	240.74	76.86
753	604031097	32.26	2.48	10.01	8.41	3.05	2504.47	295.73	112.93
754	701021012	16.92	2.12	28.23	9.54	1.62	1751.68	444.20	1.69
755	701031033	3640	2	27.93	10.06	1.80	1707.12	398.22	1.15
756	702031057	52.44	2.28	28.01	11.56	2.11	1488.29	335.13	1.28
757	801011012	5399.34	2.28	13.72	12.45	5.42	699.02	77.33	43.61
758	801021027	74978	24.9	13.05	12.67	5.32	807.52	85.67	48.41
759	801021028	3987.68	4.74	14.07	12.69	5.42	671.56	75.89	40.99
760	801021029	10908.62	8.94	9.93	12.58	5.14	900.89	95.93	56.17
761	801031030	7316.48	9.54	13.68	13.26	5.45	637.42	75.59	36.71
762	801031032	1390.04	4.32	12.84	13.05	5.35	689.26	80.77	40.68
763	801031033	745.36	2.46	13.60	13.22	5.47	639.15	76.69	37.59
764	801051054	569.06	2.58	13.83	12.99	5.49	640.68	75.54	38.14
765	801051061	949.44	2.38	13.83	12.99	5.49	640.68	75.54	38.14
766	801071089	1939.74	2.28	12.91	13.20	5.32	695.84	78.29	38.16
