	ASGS	nosheep	nobusi	T1	T2	T4	P1	P2	P3
356	213041356	3830.6	11.76	13.96	11.84	4.30	545.01	59.87	34.19
357	213041357	2038.32	4.87	14.51	12.00	4.24	491.82	54.57	31.33
358	213041358	1227.68	5.04	14.30	12.21	4.31	497.33	55.97	31.29
359	213041359	4133	7.25	14.62	11.44	4.18	508.40	55.80	32.91
360	213051366	94.36	2.7	14.91	10.82	4.07	523.24	55.45	34.95
361	213051367	20742.54	11.64	14.80	10.97	4.01	497.43	51.64	33.68
362	213051369	5988.7	6.88	14.64	11.41	4.11	500.26	53.23	33.18
363	214011370	2840.8	2.26	14.99	9.62	3.83	722.34	67.46	45.46
364	214011374	47.88	5.34	14.83	9.41	3.81	756.40	72.21	45.85
365	214011376	149.42	2.3	14.83	9.71	3.85	749.02	69.81	46.75
366	214021377	3184.75	4.68	14.47	7.66	3.43	849.17	84.73	42.49
367	214021378	4479.94	42.44	14.58	7.43	3.31	815.91	82.04	40.25
368	214021379	380.42	13.74	14.95	8.57	3.56	777.29	77.28	40.68
369	214021381	284.36	2.66	14.98	8.81	3.71	747.83	73.82	43.29
370	214021382	13.48	2.7	15.02	8.27	3.54	751.61	74.46	40.43
371	214021385	1337.26	35.06	14.89	9.04	3.74	761.51	74.69	44.08
372	215011386	111324.8	57.59	13.67	11.76	4.39	573.60	62.03	28.71
373	215011387	1613335.3	691.55	13.65	11.52	4.19	567.25	61.19	28.52
374	215011388	39487.64	66.63	14.95	13.30	4.75	435.54	49.45	20.48
375	215011389	861446.92	620.15	14.81	13.25	4.72	452.71	53.07	19.65
376	215011390	909214.26	731.56	15.68	14.18	4.80	367.94	42.82	16.23
377	215011391	662945.18	382.48	15.07	12.93	4.97	468.73	56.86	21.03
378	215011392	614674.24	333.33	14.57	12.32	4.64	519.09	59.69	23.64
379	215011393	1931021.93	689.6	14.44	13.09	4.36	503.17	61.25	18.47
380	215011394	413674.52	585.8	16.07	13.84	5.07	366.65	44.33	16.95
381	215021395	132.66	4.89	17.65	13.82	5.35	297.85	30.83	14.41
382	215021396	43.18	2.4	17.76	13.83	5.35	284.18	30.79	13.20
383	215021397	86.94	2.28	17.65	13.86	5.35	292.71	30.71	13.79
384	215021398	448640.03	417.13	16.88	14.25	5.12	317.75	34.71	15.08
385	215021399	4763.12	12.18	17.57	13.99	5.36	299.83	31.19	14.21
386	215031400	537245.19	647.88	16.02	13.71	5.19	374.73	42.26	18.62
387	215031401	170266.22	248.96	16.51	13.52	5.33	374.95	38.97	19.96
388	215031402	17159.69	41.7	16.57	13.37	5.30	378.96	38.96	20.67
389	215031403	1996.4	4.68	17.34	14.30	5.50	321.36	32.44	17.09
390	215031404	5997.4	17.08	16.91	13.41	5.25	356.72	38.70	18.05
391	215031405	169104.74	245.26	16.93	13.86	5.33	343.75	36.17	17.77
392	216011406	27577.02	44.29	15.70	13.41	5.36	411.28	41.29	19.66
393	216011407	47358.2	70.86	15.48	13.36	5.33	430.36	42.00	20.93
394	216011408	115463.15	180.76	15.90	13.39	5.38	403.15	40.10	20.26
395	216011409	40723.84	41.86	15.57	13.07	5.30	431.25	42.49	20.50
396	216011410	213995.81	223.33	15.08	12.91	5.18	505.49	50.03	24.38
397	216021411	3380.1	7.14	16.22	14.01	5.67	465.54	45.93	22.15
398	216021412	191558.16	230.58	15.76	13.99	5.64	526.67	53.22	26.40
399	216021413	195106.88	244.82	15.86	13.80	5.54	432.04	41.33	21.27
400	216021414	14530.64	18.64	15.99	14.14	5.73	503.67	49.81	24.80
401	216031415	227.58	2.24	15.43	13.18	5.26	482.76	47.99	25.05
402	216031416	17133.9	6.94	15.53	13.24	5.30	479.77	47.26	24.71
403	216031417	13971.02	32.76	15.46	13.13	5.26	511.10	50.81	26.96
404	216031418	218682.72	232.7	15.55	13.34	5.34	509.96	51.13	26.56
405	216031419	44345.63	84.35	15.28	13.18	5.25	484.56	48.36	24.77
406	217011420	1139440.97	802.32	14.12	10.83	3.56	679.68	84.89	20.82
407	217011421	215795.49	149.4	13.76	11.22	3.79	644.99	72.85	23.94
408	217011422	6491.94	18.2	14.25	8.20	2.79	751.77	97.50	23.46
409	217011423	4430370.5	1321.47	13.63	11.75	4.06	636.23	75.63	22.24
410	217021424	18934.94	10.7	13.89	10.64	3.80	699.72	73.66	33.23
411	217021425	58.62	2.26	13.72	10.54	3.71	763.35	82.18	36.57
412	217021426	260723.87	228.58	13.86	10.57	3.70	727.86	77.52	35.58
413	217021427	868488.4	395.66	14.05	11.28	4.00	587.59	59.61	33.09
414	217021428	71479.68	66.5	14.10	9.13	3.29	879.66	102.64	37.57
415	217021429	1350416.7	469.73	13.90	10.73	3.74	658.18	70.52	29.59
416	217021430	746995.8	435.69	14.22	9.84	3.27	710.47	81.80	25.43
417	217021431	13748.94	51.58	13.58	7.82	3.10	1093.42	126.44	51.41
