	ASGS	T1	T2	T4	P1	P2	P3
498	317011450	18.36	12.64	4.55	839.11	122.72	28.27
499	317011451	19.02	13.34	4.58	841.85	123.56	25.48
500	317011456	17.96	11.90	4.34	858.44	125.68	28.46
501	317011458	18.32	13.07	4.70	762.72	109.15	27.20
502	318011461	24.74	11.13	3.45	914.07	223.31	12.88
503	318011462	24.40	12.63	3.85	643.85	166.73	8.65
504	318011463	23.87	13.09	4.08	633.92	156.84	7.28
505	318021489	24.51	10.16	3.36	932.38	228.41	11.21
506	319011498	21.93	10.18	3.60	1012.04	168.09	29.83
507	319011499	21.97	11.19	3.68	951.73	156.57	27.70
508	319021503	21.00	13.67	4.51	729.66	106.94	27.40
509	319021504	21.33	11.74	3.93	894.77	150.31	27.58
510	319021505	18.98	13.29	4.59	792.92	115.35	27.91
511	319021506	20.07	13.85	4.68	706.09	102.34	26.28
512	319021507	19.17	13.46	4.74	745.02	108.50	27.87
513	319021508	20.19	13.09	4.42	767.95	117.80	26.66
514	319021509	18.99	13.25	4.62	823.69	123.09	27.46
515	319031514	20.70	12.55	4.01	1207.48	206.39	33.52
516	319031515	20.25	13.28	4.32	901.07	138.68	31.35
517	319051522	21.98	9.81	3.52	1202.45	197.31	33.67
518	319051525	21.49	12.49	4.02	1016.27	163.65	30.06
519	401011001	17.33	9.63	4.10	489.70	65.72	20.58
520	401021003	14.91	10.81	4.25	675.46	97.36	24.98
521	401021004	14.58	9.92	4.01	827.54	125.92	30.43
522	401021005	14.56	10.54	4.03	777.21	117.24	28.04
523	401021006	14.27	10.39	4.06	781.24	112.98	28.66
524	401021007	14.63	10.89	4.06	730.22	106.33	26.43
525	401021008	14.89	11.16	4.07	638.43	90.66	25.14
526	401021009	14.62	11.00	4.07	701.55	99.71	25.95
527	401021010	14.74	9.76	4.05	795.87	117.56	29.71
528	401041015	16.99	9.88	4.19	527.65	72.24	21.90
529	401041016	16.54	9.85	4.15	577.93	80.48	23.41
530	401071023	17.33	9.62	4.09	490.34	65.77	20.60
531	402011025	17.04	11.63	4.59	414.08	50.76	16.80
532	402011026	16.72	11.58	4.58	448.13	57.11	18.20
533	402011027	17.35	11.32	4.53	386.15	46.93	16.80
534	402021032	17.24	11.33	4.57	403.57	48.90	17.28
535	402021033	16.00	11.00	4.44	554.24	76.44	21.74
536	402021035	17.35	11.02	4.52	403.17	49.50	17.79
537	402041046	17.33	10.76	4.50	429.46	53.80	18.75
538	402051049	16.09	10.58	4.35	569.82	78.57	22.58
539	402051054	15.76	10.39	4.28	619.40	87.36	23.70
540	403021059	16.93	9.74	3.98	486.84	69.58	20.72
541	403021061	17.17	9.68	4.03	478.16	65.26	20.47
542	403031067	15.88	9.52	4.00	678.79	99.28	26.51
543	403031068	17.12	9.52	4.05	521.96	72.85	21.54
544	403031069	16.77	9.46	4.03	572.26	81.91	23.05
545	403041072	16.34	9.83	3.79	518.54	80.76	19.87
546	403041075	15.36	10.08	4.00	707.21	106.44	27.34
547	403041077	16.29	9.55	3.99	616.86	91.25	24.38
548	403041078	16.02	9.92	3.97	612.12	92.87	24.12
549	403041083	16.07	10.01	3.91	577.49	88.32	22.87
550	403041084	16.26	9.80	3.97	586.63	88.51	23.47
551	403041087	16.53	9.83	3.85	504.93	77.64	19.84
552	403041088	16.01	10.03	3.86	575.85	88.62	22.37
553	403041089	16.03	9.73	3.98	627.25	94.53	24.66
554	404011093	17.38	9.87	4.19	458.50	61.48	19.70
555	404021103	17.44	10.52	4.39	412.30	52.50	18.32
556	405011110	14.36	12.08	4.48	588.74	80.23	24.54
557	405011111	16.21	12.07	4.63	454.47	57.49	18.67
558	405011112	15.93	11.71	4.55	517.59	71.46	20.13
559	405011113	17.30	11.63	4.52	374.53	45.63	15.77
560	405011114	15.56	12.25	4.61	476.17	61.90	20.16
561	405011115	15.53	12.23	4.61	487.86	64.25	20.13
562	405021116	15.22	13.27	4.97	555.50	75.20	23.40
563	405021117	15.58	12.49	4.75	488.94	62.35	20.48
564	405021118	15.78	13.53	4.93	365.64	43.23	18.34
565	405021119	17.50	12.82	4.64	347.22	45.26	14.30
566	405031120	15.97	13.95	5.20	441.57	55.41	18.75
567	405031121	16.82	13.66	5.39	380.39	45.17	18.18
568	405031122	18.86	12.09	4.67	343.11	37.92	16.08
569	405031123	17.84	12.77	4.77	384.78	47.44	15.76
570	405041124	17.48	12.20	4.51	336.25	45.55	14.05
571	405041125	17.55	11.75	4.39	340.39	46.37	14.85
572	405041126	17.78	12.03	4.48	318.29	41.83	14.07
573	405041127	17.18	11.19	4.21	372.26	52.90	15.34
